sigma,pi_reward,base_opp,seed,final_fund_prevalence,final_exit_rate,max_punish,top5_punishment_share,top10_punishment_share,enforcer_punish_share,regime_hier,condition
0.25,0.5,0.3,26,0.2622950819672131,0.8257142857142857,0.1114285714285714,0.9189388356669123,0.9756816507000737,0.2520265291083272,MIXED,off
0.25,0.5,0.3,27,0.3090909090909091,0.8428571428571429,0.1228571428571428,0.8828382838283828,0.9760726072607261,0.19636963696369636,MIXED,off
0.25,0.5,0.3,28,0.2950819672131147,0.8257142857142857,0.1057142857142857,0.8936708860759494,0.9738396624472574,0.28945147679324895,MIXED,off
0.25,0.5,0.3,29,0.2727272727272727,0.8114285714285714,0.1257142857142857,0.9077380952380952,0.9821428571428571,0.22991071428571427,MIXED,off
0.25,0.5,0.3,30,0.3015873015873015,0.82,0.1428571428571428,0.8635312259059368,0.9745566692367,0.23515805705474171,MIXED,off
0.75,0.25,0.3,1,0.1111111111111111,0.4857142857142857,0.1028571428571428,0.8561258898463844,0.938928437617085,0.658298988385163,MIXED,off
0.75,0.25,0.3,2,0.119047619047619,0.52,0.1285714285714285,0.825629462608042,0.9443818113491169,0.5144682450206689,MIXED,off
0.75,0.25,0.3,3,0.1292134831460674,0.4914285714285714,0.1228571428571428,0.8253615127919911,0.9477196885428254,0.6507230255839822,MIXED,off
0.75,0.25,0.3,4,0.1376811594202898,0.6057142857142858,0.1428571428571428,0.8213641284734753,0.9678816311800794,0.5304944063514977,MIXED,off
0.75,0.25,0.3,5,0.1346153846153846,0.5542857142857143,0.14,0.8166920731707317,0.9660823170731707,0.47065548780487804,MIXED,off
0.75,0.25,0.3,6,0.1226993865030674,0.5342857142857143,0.1171428571428571,0.854080791426216,0.9505358615004122,0.5181368507831822,MIXED,off
0.75,0.25,0.3,7,0.125,0.4971428571428571,0.1,0.7835294117647059,0.9450980392156862,0.5741176470588235,MIXED,off
0.75,0.25,0.3,8,0.1333333333333333,0.4857142857142857,0.1257142857142857,0.7818434460398332,0.9448818897637795,0.5164427975914775,MIXED,off
0.75,0.25,0.3,9,0.1404494382022472,0.4914285714285714,0.1114285714285714,0.7234242709313264,0.8984007525870179,0.5,MIXED,off
0.75,0.25,0.3,10,0.1117318435754189,0.4885714285714285,0.1228571428571428,0.8388697976326842,0.9511263841160749,0.5498281786941581,MIXED,off
0.75,0.25,0.3,11,0.1294117647058823,0.5142857142857142,0.1142857142857142,0.7954628613245518,0.9410903768752287,0.5653128430296378,MIXED,off
