seed,sigma,pi_reward,delta_outside_degrade,eta_delta_drift,exit_opportunity_base,final_exit_rate,final_active_punish,final_enforcer_share,final_q_above_threshold,final_fund_prevalence,final_enforcement_pressure,regime_overt,regime_acquiescence_aware,mislabeled_fear_capture,config
4,0.75,0.2510324036529688,0.25,0.12,0.15,0.0571428571428571,0.1606060606060606,0.9848484848484848,0.9848484848484848,0.1121212121212121,0.9875573921028468,CAPTURE,CAPTURE,False,P1S1A1
5,0.75,0.2510324036529688,0.25,0.12,0.15,0.0342857142857142,0.1686390532544378,0.9852941176470588,0.9970414201183432,0.0976331360946745,0.9975578586183956,CAPTURE,CAPTURE,False,P1S1A1
1,0.75,0.2510324036529688,0.25,0.12,0.35,0.06,0.1610942249240121,0.9850746268656716,0.96048632218845,0.1033434650455927,0.9663713380327232,CAPTURE,CAPTURE,False,P1S1A1
2,0.75,0.2510324036529688,0.25,0.12,0.35,0.0771428571428571,0.1578947368421052,0.9836065573770492,0.9690402476780186,0.1052631578947368,0.9739286296235946,CAPTURE,CAPTURE,False,P1S1A1
3,0.75,0.2510324036529688,0.25,0.12,0.35,0.0371428571428571,0.172106824925816,0.9864864864864864,0.9554896142433236,0.1097922848664688,0.9636784685961838,CAPTURE,CAPTURE,False,P1S1A1
4,0.75,0.2510324036529688,0.25,0.12,0.35,0.0457142857142857,0.155688622754491,0.9846153846153848,0.9610778443113772,0.1017964071856287,0.967603714726236,CAPTURE,CAPTURE,False,P1S1A1
5,0.75,0.2510324036529688,0.25,0.12,0.35,0.0342857142857142,0.1686390532544378,0.9852941176470588,0.9644970414201184,0.0976331360946745,0.9698539967087988,CAPTURE,CAPTURE,False,P1S1A1
1,0.75,0.2510324036529688,0.25,0.12,0.6,0.0571428571428571,0.1545454545454545,0.984126984126984,0.9030303030303032,0.0939393939393939,0.917722681359045,CAPTURE,CAPTURE,False,P1S1A1
2,0.75,0.2510324036529688,0.25,0.12,0.6,0.0542857142857142,0.1601208459214501,0.9857142857142858,0.8731117824773413,0.0906344410876132,0.894424110769343,CAPTURE,CAPTURE,False,P1S1A1
3,0.75,0.2510324036529688,0.25,0.12,0.6,0.0428571428571428,0.1731343283582089,0.9852941176470588,0.9044776119402984,0.0985074626865671,0.919590109155714,CAPTURE,CAPTURE,False,P1S1A1
4,0.75,0.2510324036529688,0.25,0.12,0.6,0.0457142857142857,0.1586826347305389,0.9850746268656716,0.8922155688622755,0.0988023952095808,0.9094535479938328,CAPTURE,CAPTURE,False,P1S1A1
5,0.75,0.2510324036529688,0.25,0.12,0.6,0.0342857142857142,0.1686390532544378,0.9852941176470588,0.8727810650887574,0.0976331360946745,0.8942351458282273,CAPTURE,CAPTURE,False,P1S1A1
1,0.75,0.5010324036529687,0.25,0.12,0.15,0.0514285714285714,0.1536144578313253,0.9855072463768116,0.9909638554216867,0.1024096385542168,0.9925424589925969,CAPTURE,CAPTURE,False,P1S1A1
2,0.75,0.5010324036529687,0.25,0.12,0.15,0.0485714285714285,0.1651651651651651,0.9850746268656716,1.0,0.093093093093093,1.0,CAPTURE,CAPTURE,False,P1S1A1
3,0.75,0.5010324036529687,0.25,0.12,0.15,0.0485714285714285,0.1681681681681681,0.9855072463768116,1.0,0.1021021021021021,1.0,CAPTURE,CAPTURE,False,P1S1A1
4,0.75,0.5010324036529687,0.25,0.12,0.15,0.0314285714285714,0.1563421828908554,0.9833333333333332,1.0,0.103244837758112,1.0,CAPTURE,CAPTURE,False,P1S1A1
5,0.75,0.5010324036529687,0.25,0.12,0.15,0.0314285714285714,0.1651917404129793,1.0,0.9941002949852508,0.103244837758112,0.9951444905630824,CAPTURE,CAPTURE,False,P1S1A1
1,0.75,0.5010324036529687,0.25,0.12,0.35,0.0514285714285714,0.1536144578313253,0.9855072463768116,0.9578313253012049,0.1024096385542168,0.96469008564378,CAPTURE,CAPTURE,False,P1S1A1
2,0.75,0.5010324036529687,0.25,0.12,0.35,0.1,0.1555555555555555,0.9830508474576272,0.946031746031746,0.1015873015873015,0.9548500881834214,CAPTURE,CAPTURE,False,P1S1A1
3,0.75,0.5010324036529687,0.25,0.12,0.35,0.0428571428571428,0.1701492537313433,0.9857142857142858,0.9552238805970148,0.0985074626865671,0.9628425038984184,CAPTURE,CAPTURE,False,P1S1A1
4,0.75,0.5010324036529687,0.25,0.12,0.35,0.0171428571428571,0.1627906976744186,0.9846153846153848,0.9593023255813954,0.1046511627906976,0.965809221200649,CAPTURE,CAPTURE,False,P1S1A1
5,0.75,0.5010324036529687,0.25,0.12,0.35,0.0457142857142857,0.1676646706586826,0.9850746268656716,0.9730538922155688,0.1167664670658682,0.977249094625121,CAPTURE,CAPTURE,False,P1S1A1
1,0.75,0.5010324036529687,0.25,0.12,0.6,0.0742857142857142,0.1604938271604938,0.9848484848484848,0.8796296296296297,0.1018518518518518,0.9000914494741655,CAPTURE,CAPTURE,False,P1S1A1
