sigma,pi_reward,alpha,delta,n_seeds,regime_majority,n_collapse,n_capture,n_mixed,n_quiet,median_fund_prevalence,median_exit_rate,median_top5_share,median_max_punish,median_enforcer_punish_share
0.75,0.5,0.2,0.0,5,MIXED,0,0,5,0,0.1461187214611872,0.3742857142857143,0.8072385522895421,0.1657142857142857,0.9649146273758324
0.95,0.05,0.2,0.0,5,MIXED,0,0,5,0,0.0909090909090909,0.3085714285714285,0.7980651481753612,0.1257142857142857,0.9589844429030951
0.95,0.25,0.2,0.0,5,MIXED,0,0,5,0,0.1264822134387351,0.2914285714285714,0.7654146765089014,0.1285714285714285,0.9672387651714405
0.95,0.5,0.2,0.0,5,MIXED,0,0,5,0,0.1293103448275862,0.2942857142857142,0.771004590583965,0.1257142857142857,0.9697681159494794
0.25,0.05,0.2,0.2,5,QUIET,0,0,0,5,0.0,0.0657142857142857,0.6571774682010902,0.0485714285714285,0.6705045054626393
0.25,0.25,0.2,0.2,5,MIXED,0,0,5,0,0.0974358974358974,0.38,0.8281519861830743,0.1142857142857142,0.8663324979021259
0.25,0.5,0.2,0.2,5,MIXED,0,0,5,0,0.1310679611650485,0.4114285714285714,0.8105100463678516,0.1628571428571428,0.7437926402707519
0.75,0.05,0.2,0.2,5,MIXED,0,0,5,0,0.1032863849765258,0.3742857142857143,0.8260137505261681,0.1371428571428571,0.9244834269867142
0.75,0.25,0.2,0.2,5,MIXED,0,0,5,0,0.1367924528301886,0.3657142857142857,0.8136763559416416,0.1542857142857142,0.9632837481893382
0.75,0.5,0.2,0.2,5,MIXED,0,0,5,0,0.1440677966101695,0.3657142857142857,0.818881396271321,0.1542857142857142,0.9680007303998487
0.95,0.05,0.2,0.2,5,MIXED,0,0,5,0,0.0905349794238683,0.3028571428571429,0.7981735159817351,0.12,0.9668165461888933
0.95,0.25,0.2,0.2,5,MIXED,0,0,5,0,0.1255060728744939,0.2942857142857142,0.7752562225475842,0.1285714285714285,0.9706054459590436
0.95,0.5,0.2,0.2,5,MIXED,0,0,5,0,0.1285140562248996,0.2885714285714286,0.7758007117437722,0.1342857142857142,0.9724414381880162
0.25,0.05,0.2,0.4,5,QUIET,0,0,0,5,0.0,0.0514285714285714,0.6408237431859479,0.0485714285714285,0.6579727474769521
0.25,0.25,0.2,0.4,5,MIXED,0,0,5,0,0.1021505376344086,0.42,0.8330100226317491,0.1228571428571428,0.9062170576071379
0.25,0.5,0.2,0.4,5,MIXED,0,0,5,0,0.1269035532994923,0.42,0.8214050493962678,0.1657142857142857,0.9047132824884918
0.75,0.05,0.2,0.4,5,MIXED,0,0,5,0,0.0924369747899159,0.32,0.8335086796422936,0.1428571428571428,0.9484307046341005
0.75,0.25,0.2,0.4,5,MIXED,0,0,5,0,0.1327433628318584,0.3542857142857142,0.7977566572480521,0.1657142857142857,0.9667353833339943
0.75,0.5,0.2,0.4,5,MIXED,0,0,5,0,0.1409691629955947,0.3514285714285714,0.8038908064010041,0.1657142857142857,0.9689038617668108
