eta_delta_drift,delta0,sigma,pi_reward,alpha,mu_membership_reward,seed,final_fund_prevalence,final_exit_rate,max_punish,top5_punishment_share,top10_punishment_share,enforcer_punish_share,final_current_delta,regime,run_dir
0.0,0.1,0.25,0.25,0.0,0.0,22,0.0895522388059701,0.4257142857142857,0.127147766323024,0.7609030271934325,0.9433042585941509,0.7215646095437118,0.1,MIXED,/storage/kiran-stuff/code-geometry-abm/recon/decoupled_k6.0/eta_0.00/delta0_0.10/sigma_0.25/pi_0.25/seed_22
0.0,0.1,0.25,0.25,0.0,0.0,23,0.0864864864864864,0.4714285714285714,0.1157894736842105,0.8274041771861372,0.9506541198072068,0.8435521633872249,0.1,MIXED,/storage/kiran-stuff/code-geometry-abm/recon/decoupled_k6.0/eta_0.00/delta0_0.10/sigma_0.25/pi_0.25/seed_23
0.0,0.1,0.25,0.25,0.0,0.0,24,0.083743842364532,0.42,0.1228571428571428,0.7810562856434417,0.9390032234068931,0.6614437765456822,0.1,MIXED,/storage/kiran-stuff/code-geometry-abm/recon/decoupled_k6.0/eta_0.00/delta0_0.10/sigma_0.25/pi_0.25/seed_24
0.0,0.1,0.25,0.25,0.0,0.0,25,0.0844444444444444,0.3571428571428571,0.1219512195121951,0.8207211782630777,0.9339766378872524,0.7679881034414981,0.1,MIXED,/storage/kiran-stuff/code-geometry-abm/recon/decoupled_k6.0/eta_0.00/delta0_0.10/sigma_0.25/pi_0.25/seed_25
0.0,0.1,0.25,0.25,0.0,0.0,26,0.1062801932367149,0.4085714285714286,0.1294964028776978,0.8262411347517731,0.9570035460992907,0.7830582663932125,0.1,MIXED,/storage/kiran-stuff/code-geometry-abm/recon/decoupled_k6.0/eta_0.00/delta0_0.10/sigma_0.25/pi_0.25/seed_26
0.0,0.1,0.25,0.25,0.0,0.0,27,0.0966183574879227,0.4085714285714286,0.1423841059602649,0.8049456898544026,0.951698636468685,0.7412925923920803,0.1,MIXED,/storage/kiran-stuff/code-geometry-abm/recon/decoupled_k6.0/eta_0.00/delta0_0.10/sigma_0.25/pi_0.25/seed_27
0.0,0.1,0.25,0.25,0.0,0.0,28,0.0909090909090909,0.4028571428571428,0.1331269349845201,0.7941366673852124,0.9484802759215348,0.6894747541816926,0.1,MIXED,/storage/kiran-stuff/code-geometry-abm/recon/decoupled_k6.0/eta_0.00/delta0_0.10/sigma_0.25/pi_0.25/seed_28
0.0,0.1,0.25,0.25,0.0,0.0,29,0.0909090909090909,0.4028571428571428,0.1263157894736842,0.8447018447018447,0.9553839553839554,0.7205462029176606,0.1,MIXED,/storage/kiran-stuff/code-geometry-abm/recon/decoupled_k6.0/eta_0.00/delta0_0.10/sigma_0.25/pi_0.25/seed_29
0.0,0.1,0.25,0.25,0.0,0.0,30,0.0826086956521739,0.3428571428571428,0.1368078175895765,0.8162274618585298,0.9385113268608414,0.6107437841935568,0.1,MIXED,/storage/kiran-stuff/code-geometry-abm/recon/decoupled_k6.0/eta_0.00/delta0_0.10/sigma_0.25/pi_0.25/seed_30
0.0,0.1,0.25,0.5,0.0,0.0,1,0.1443298969072164,0.4457142857142857,0.1834319526627219,0.7860942946248395,0.9585397174830307,0.6649386652789656,0.1,MIXED,/storage/kiran-stuff/code-geometry-abm/recon/decoupled_k6.0/eta_0.00/delta0_0.10/sigma_0.25/pi_0.50/seed_01
