t,mean_x,mean_y,mean_x_all,mean_y_all,mean_L,y0,mean_epc,mean_r,mean_b,fund_prevalence,mean_epc_all,mean_r_all,mean_b_all,fund_prevalence_all,punish_rate,active_punish_rate,mean_punished,exit_rate,mean_exit_intent,exit_attempt_rate,exit_success_rate,p_opp_mean,stay_value,mean_degree_active,threat,A,budget,enforcer_frac,n_cadre_fallback,cap_mean,cap_p90,service_mean,service_p90,monopoly_on,enforcer_punish_share_step,pi_reward,lam_punish
99,0.9007121907396303,0.4822576196734037,0.7222269862735115,0.48724633277623125,0.23280729257740893,0.4809443680051897,0.47058823529411764,0.37832403607494075,0.3851337036721849,0.0784313725490196,0.13714285714285715,0.3710017763927408,0.36381421645841794,0.06571428571428571,0.0,0.0,0.0,0.7085714285714285,7.1257142857142854,0.0196078431372549,0.002857142857142857,0.3568574722678091,0.05312159999999999,1.5686274509803921,0.0,0.0,0.15,0.0784313725490196,0,0.12847933301350012,0.20552583537343894,0.4740547713185541,0.8243386167312841,0.0,0.0,0.18,0.25
100,0.9026309913150138,0.4835837797530441,0.7227861795840519,0.4881989544244166,0.23280729257740893,0.4810886153462065,0.5294117647058824,0.37832403607494075,0.3851337036721849,0.0784313725490196,0.15428571428571428,0.3710017763927408,0.36381421645841794,0.06571428571428571,0.0,0.0,0.0,0.7085714285714285,7.134285714285714,0.00980392156862745,0.0,0.35694403233389405,0.05312159999999999,1.5686274509803921,0.0,0.0,0.15,0.0784313725490196,0,0.12783693634843263,0.20449820619657172,0.464573675892183,0.8078518443966584,0.0,0.0,0.18,0.25
101,0.9103533441525695,0.48261205216665565,0.725036693839568,0.4879122477785797,0.23280729257740893,0.4811718424696514,0.37254901960784315,0.37832403607494075,0.3851337036721849,0.0784313725490196,0.10857142857142857,0.3710017763927408,0.36381421645841794,0.06571428571428571,0.0,0.0,0.0,0.7085714285714285,7.145714285714286,0.0196078431372549,0.0,0.253601706110817,0.07812160000000003,1.5686274509803921,0.25,0.3934693402873666,0.3,0.0784313725490196,0,0.12719775166669045,0.20347571516558888,0.45528220237433936,0.7916948075087251,1.0,0.0,0.22999999999999998,0.3
102,0.9133607550699361,0.4825532401128482,0.7259131393069149,0.4869959580063237,0.23280729257740893,0.48134126124768395,0.47058823529411764,0.37832403607494075,0.3851337036721849,0.0784313725490196,0.13714285714285715,0.3710017763927408,0.36381421645841794,0.06571428571428571,0.0,0.0,0.0,0.7085714285714285,7.142857142857143,0.00980392156862745,0.0,0.2564726707104294,0.07737160000000001,1.5686274509803921,0.2425,0.38430280323571486,0.2955,0.0784313725490196,0,0.126561762908357,0.20245833658976092,0.44617655832685255,0.7758609113585506,1.0,0.0,0.22849999999999998,0.2985
103,0.9153625773740701,0.4837814314041205,0.7264965275212625,0.4861880147074966,0.23280729257740893,0.48141138784362464,0.3627450980392157,0.37832403607494075,0.3851337036721849,0.0784313725490196,0.10571428571428572,0.3710017763927408,0.36381421645841794,0.06571428571428571,0.0,0.0,0.0,0.7085714285714285,7.145714285714286,0.029411764705882353,0.0,0.2592735122006341,0.07664410000000002,1.5686274509803921,0.235225,0.37527891946603786,0.291135,0.0784313725490196,0,0.12592895409381522,0.20144604490681212,0.4372530271603155,0.7603436931313796,1.0,0.0,0.227045,0.297045
104,0.9191332937369154,0.48448191565309345,0.7275954220041488,0.48599317369817024,0.23280729257740893,0.48172799230304325,0.45098039215686275,0.37832403607494075,0.3851337036721849,0.0784313725490196,0.13142857142857142,0.3710017763927408,0.36381421645841794,0.06571428571428571,0.0,0.0,0.0,0.7085714285714285,7.128571428571429,0.029411764705882353,0.0,0.26200519955271795,0.07593842500000005,1.5686274509803921,0.22816825,0.36639940537757587,0.28690095,0.0784313725490196,0,0.12529930932334613,0.20043881468227806,0.4285079666171092,0.745136819268752,1.0,0.0,0.22563365,0.29563364999999997
105,0.9235420733192266,0.4834412055906382,0.7287686947404848,0.4853862630511113,0.23280729257740893,0.48226500384418564,0.47,0.3796719922275564,0.3884603776481845,0.08,0.13428571428571429,0.3710017763927408,0.36381421645841794,0.06571428571428571,0.0,0.0,0.0,0.7142857142857143,7.105714285714286,0.01,0.005714285714285714,0.2657277068993514,0.07525392025,1.32,0.22132320249999998,0.3576657068684358,0.2827939215,0.08,0,0.12467281277672941,0.19943662060886666,0.41993780728476704,0.730234082883377,1.0,0.0,0.2242646405,0.2942646405
106,0.9245895116204071,0.4814240867527329,0.7288803516209609,0.48532312621627083,0.23280729257740893,0.48259473593090135,0.47474747474747475,0.38138870100707045,0.38491275974776457,0.08080808080808081,0.13428571428571429,0.3710017763927408,0.36381421645841794,0.06571428571428571,0.0,0.0,0.0,0.7171428571428572,7.06,0.010101010101010102,0.002857142857142857,0.26924548604289594,0.0745899506425,1.292929292929293,0.21468350642499998,0.3490790110306359,0.27881010385499994,0.08080808080808081,0,0.12404944871284575,0.19843943750582232,0.41153905113907163,0.7156294012257094,0.0,0.0,0.22293670128499998,0.292936701285
107,0.9237900348058583,0.48267868343681536,0.7286542138934171,0.4847398793770289,0.23280729257740893,0.4826800212615736,0.5252525252525253,0.38138870100707045,0.38491275974776457,0.08080808080808081,0.14857142857142858,0.3710017763927408,0.36381421645841794,0.06571428571428571,0.0,0.0,0.0,0.7171428571428572,7.034285714285715,0.010101010101010102,0.0,0.2718617526431915,0.07394590012322501,1.292929292929293,0.20824300123224998,0.3406402578577572,0.27494580073935,0.08080808080808081,0,0.12342920146928153,0.19744724031829322,0.40330827011629017,0.7013168132011952,0.0,0.0,0.22164860024645,0.29164860024645
108,0.9241503230398197,0.48181150964912717,0.7287561239938806,0.48414553894568957,0.23280729257740893,0.4828591546821876,0.5050505050505051,0.38138870100707045,0.38491275974776457,0.08080808080808081,0.14285714285714285,0.3710017763927408,0.36381421645841794,0.06571428571428571,0.0,0.0,0.0,0.7171428571428572,7.0285714285714285,0.010101010101010102,0.0,0.2743385636031298,0.07332117111952827,1.292929292929293,0.20199571119528248,0.33235015191599615,0.2711974267171695,0.08080808080808081,0,0.1228120554619351,0.19646000411670178,0.39524210471396437,0.6872904769371713,0.0,0.0,0.2203991422390565,0.2903991422390565
109,0.9285813696660955,0.4826016288545448,0.7300094771824556,0.48446286424242335,0.23280729257740893,0.4829974223405654,0.48484848484848486,0.38138870100707045,0.38491275974776457,0.08080808080808081,0.13714285714285715,0.3710017763927408,0.36381421645841794,0.06571428571428571,0.0,0.0,0.0,0.7171428571428572,7.005714285714285,0.0,0.0,0.276751275638469,0.07271518398594239,1.292929292929293,0.195935839859424,0.32420917393415305,0.26756150391565436,0.08080808080808081,0,0.12219799518462543,0.19547770409611825,0.38733726261968515,0.6735446673984278,0.0,0.0,0.2191871679718848,0.2891871679718848
110,0.9303076252027384,0.48229485550070444,0.7304977608913917,0.48357935286543613,0.23280729257740893,0.4829361731541571,0.494949494949495,0.38138870100707045,0.38491275974776457,0.08080808080808081,0.14,0.3710017763927408,0.36381421645841794,0.06571428571428571,0.0,0.0,0.0,0.7171428571428572,6.988571428571428,0.0,0.0,0.27910108652833043,0.07212737646636413,1.292929292929293,0.19005776466364127,0.3162175922726228,0.2640346587981848,0.08080808080808081,0,0.1215870052087023,0.19450031557563766,0.3795905173672914,0.6600737740504593,0.0,0.0,0.21801155293272825,0.2880115529327283
111,0.9358858742384171,0.4800686886895176,0.7320756084757695,0.4817091427729542,0.23280729257740893,0.4830488504678138,0.46464646464646464,0.38138870100707045,0.38491275974776457,0.08080808080808081,0.13142857142857142,0.3710017763927408,0.36381421645841794,0.06571428571428571,0.0,0.0,0.0,0.7171428571428572,6.991428571428571,0.0,0.0,0.28138921021162544,0.07155720317237324,1.292929292929293,0.18435603172373202,0.30837547423575784,0.2606136190342392,0.08080808080808081,0,0.1209790701826588,0.19352781399775945,0.3719987070199456,0.64687229856945,0.0,0.0,0.2168712063447464,0.2868712063447464
112,0.9381183772516124,0.47999624802572616,0.7327070878995018,0.4813475100144125,0.23280729257740893,0.48276774714717363,0.46464646464646464,0.38138870100707045,0.38491275974776457,0.08080808080808081,0.13142857142857142,0.3710017763927408,0.36381421645841794,0.06571428571428571,0.0,0.0,0.0,0.7171428571428572,6.977142857142857,0.0,0.0,0.2836168726026123,0.07100413507720205,1.292929292929293,0.17882535077202005,0.30068269719605834,0.257295210463212,0.08080808080808081,0,0.1203741748317455,0.19256017492777067,0.36455873287954665,0.633934852598061,0.0,0.0,0.215765070154404,0.285765070154404
113,0.9409885548098427,0.48101789680672674,0.7335867494149612,0.4811909622300229,0.23280729257740893,0.48279363119781377,0.47959183673469385,0.37965255733513487,0.38470162420941595,0.08163265306122448,0.13428571428571429,0.3710017763927408,0.36381421645841794,0.06571428571428571,0.0,0.0,0.0,0.72,6.942857142857143,0.0,0.002857142857142857,0.28626565799832515,0.07046765902488596,1.2040816326530612,0.17346059024885946,0.293138959502491,0.2540763541493157,0.08163265306122448,0,0.11977230395758677,0.1915973740531318,0.35726755822195577,0.6212561555460998,0.0,0.0,0.2146921180497719,0.2846921180497719
114,0.9452153824106793,0.4812807106208219,0.7347702611431954,0.4808972701282686,0.23280729257740893,0.4829700562257697,0.5,0.37965255733513487,0.38470162420941595,0.08163265306122448,0.14,0.3710017763927408,0.36381421645841794,0.06571428571428571,0.0,0.0,0.0,0.72,6.951428571428571,0.01020408163265306,0.0,0.28854591454349454,0.0699472772541394,1.2040816326530612,0.16825677254139368,0.2857437911488512,0.2509540635248362,0.08163265306122448,0,0.11917344243779882,0.19063938718286613,0.3501222070575166,0.6088310324351778,0.0,0.0,0.21365135450827874,0.2836513545082787
115,0.9483378816422223,0.4816305504071233,0.7356445609280275,0.48087734412367483,0.23280729257740893,0.4834263652969637,0.5,0.37965255733513487,0.38470162420941595,0.08163265306122448,0.14,0.3710017763927408,0.36381421645841794,0.06571428571428571,0.0,0.0,0.0,0.72,6.98,0.0,0.0,0.29060174611455347,0.06944250693651521,1.2040816326530612,0.16320906936515187,0.27849656418146884,0.2479254416190911,0.08163265306122448,0,0.11857757522560981,0.1896861902469518,0.34311976291636626,0.5966544117864743,0.0,0.0,0.21264181387303038,0.2826418138730304
116,0.9489034291151578,0.4825484946096713,0.7358029142204495,0.4804925445706481,0.23280729257740893,0.4839862417797404,0.47959183673469385,0.37965255733513487,0.38470162420941595,0.08163265306122448,0.13428571428571429,0.3710017763927408,0.36381421645841794,0.06571428571428571,0.0,0.0,0.0,0.72,6.988571428571428,0.0,0.0,0.29260198115229885,0.06895287972841975,1.2040816326530612,0.1583127972841973,0.2713965028287084,0.24498767837051838,0.08163265306122448,0,0.1179846873494818,0.18873775929571704,0.33625736765803893,0.5847213235507448,0.0,0.0,0.21166255945683946,0.2816625594568395
117,0.9527538417958514,0.48135265404732197,0.7368810297710436,0.47960885422488464,0.23280729257740893,0.4844370302561519,0.5,0.37965255733513487,0.38470162420941595,0.08163265306122448,0.14,0.3710017763927408,0.36381421645841794,0.06571428571428571,0.0,0.0,0.0,0.72,6.98,0.0,0.0,0.29454785872485356,0.06847794133656715,1.2040816326530612,0.1535634133656714,0.26444269333764303,0.2421380480194028,0.08163265306122448,0,0.11739476391273437,0.18779407049923846,0.3295322203048781,0.5730268970797299,0.0,0.0,0.21071268267313428,0.28071268267313426
