t,fund_prevalence,exit_rate,punish_rate,enforcer_punish_share_step,sigma,pi_reward,base_opp,exit_threshold,seed,regime,regime_column
186,0.0982142857142857,0.36,0.0371428571428571,0.8823529411764706,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
187,0.0982142857142857,0.36,0.0285714285714285,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
188,0.0982142857142857,0.36,0.0171428571428571,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
189,0.0982142857142857,0.36,0.0257142857142857,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
190,0.0982142857142857,0.36,0.04,0.8823529411764706,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
191,0.0986547085201793,0.3628571428571429,0.0371428571428571,0.875,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
192,0.0986547085201793,0.3628571428571429,0.0371428571428571,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
193,0.0986547085201793,0.3628571428571429,0.0342857142857142,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
194,0.0986547085201793,0.3628571428571429,0.0428571428571428,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
195,0.0986547085201793,0.3628571428571429,0.0314285714285714,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
196,0.0990990990990991,0.3657142857142857,0.04,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
197,0.0990990990990991,0.3657142857142857,0.0542857142857142,0.8695652173913043,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
198,0.0990990990990991,0.3657142857142857,0.0371428571428571,0.9411764705882352,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
199,0.0990990990990991,0.3657142857142857,0.0342857142857142,0.9285714285714286,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
200,0.0995475113122171,0.3685714285714285,0.0371428571428571,0.9375,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
201,0.0995475113122171,0.3685714285714285,0.0371428571428571,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
202,0.1,0.3714285714285714,0.0171428571428571,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
203,0.1,0.3714285714285714,0.0428571428571428,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
204,0.1009174311926605,0.3771428571428571,0.0514285714285714,0.9473684210526316,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
205,0.1009174311926605,0.3771428571428571,0.0342857142857142,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
206,0.1013824884792626,0.38,0.04,0.9285714285714286,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
207,0.1013824884792626,0.38,0.0314285714285714,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
208,0.1013824884792626,0.38,0.04,0.9333333333333332,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
209,0.1013824884792626,0.38,0.0285714285714285,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
210,0.1013824884792626,0.38,0.0342857142857142,0.9230769230769232,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
211,0.1013824884792626,0.38,0.02,0.9,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
212,0.1013824884792626,0.38,0.0457142857142857,0.9444444444444444,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
213,0.1013824884792626,0.38,0.0371428571428571,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
214,0.1013824884792626,0.38,0.0171428571428571,0.8571428571428571,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
215,0.1013824884792626,0.38,0.0371428571428571,0.8571428571428571,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
216,0.1013824884792626,0.38,0.0228571428571428,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
217,0.1018518518518518,0.3828571428571428,0.0342857142857142,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
218,0.1023255813953488,0.3857142857142857,0.0342857142857142,1.0,0.75,0.25,0.3,1.5,1,MIXED,regime_hier
