eta_delta_drift,delta0,sigma,pi_reward,alpha,mu_membership_reward,n_seeds,regime_majority,n_collapse,n_capture,n_mixed,n_quiet,median_fund_prevalence,median_exit_rate,median_top5_share,median_max_punish,median_enforcer_punish_share,median_final_delta
0.0,0.3,0.25,0.05,0.0,0.0,30,QUIET,0,0,0,30,0.0,0.0557142857142857,0.6522184792574508,0.04999999999999995,0.6927244614094263,0.3
0.0,0.3,0.25,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.0975632971635256,0.3999999999999999,0.8338552813391542,0.13954104440544385,0.860514088291332,0.3
0.0,0.3,0.25,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.1243566237380989,0.40428571428571425,0.8152667743254238,0.17111100157728704,0.85655442976891,0.3
0.0,0.3,0.75,0.05,0.0,0.0,30,MIXED,0,0,30,0,0.0989057727255152,0.3628571428571429,0.8271698086119004,0.15158609277749566,0.9430627927653858,0.3
0.0,0.3,0.75,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.13739141024600138,0.3771428571428571,0.8054056484769611,0.1694135735865343,0.9628490060158426,0.3
0.0,0.3,0.75,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.147982062780269,0.3671428571428571,0.8106554859879724,0.16965350540931928,0.9672772001123764,0.3
0.0,0.3,0.95,0.05,0.0,0.0,30,MIXED,0,0,30,0,0.0934959349593495,0.3,0.7930715533201813,0.1378277926904811,0.9694954016312085,0.3
0.0,0.3,0.95,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.13142182492831844,0.2957142857142857,0.7686087254220471,0.14373697991323126,0.972642201463605,0.3
0.0,0.3,0.95,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.13106101270352474,0.2857142857142857,0.7677048652317572,0.1446153846153846,0.9717085073969287,0.3
0.05,0.1,0.25,0.05,0.0,0.0,30,QUIET,0,0,0,30,0.0,0.0714285714285714,0.6518627236078416,0.04999999999999995,0.6702815541922589,0.1
0.05,0.1,0.25,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.08128765060240961,0.0542857142857142,0.8088046019516946,0.16871234939759036,0.9813127989336888,0.9999999994583446
0.05,0.1,0.25,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.1007409618457324,0.04,0.7255793406415546,0.1973395683073102,0.9830114979390827,0.9999999998207019
0.05,0.1,0.75,0.05,0.0,0.0,30,MIXED,0,0,30,0,0.08175199904523206,0.0228571428571428,0.7751998440241763,0.1737212276214833,0.9823424389344944,0.9999999994741625
0.05,0.1,0.75,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.11030688080351875,0.02,0.687613769054322,0.1902017291066282,0.9816190829358066,0.999999999613324
0.05,0.1,0.75,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.1073581951400963,0.0228571428571428,0.6933394410596774,0.1895043731778425,0.9817814288495933,0.9999999996035445
0.05,0.1,0.95,0.05,0.0,0.0,30,MIXED,0,0,30,0,0.08064432878833495,0.0257142857142857,0.7615009783737812,0.15935616262665125,0.9819836344213775,0.9999999978406926
0.05,0.1,0.95,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.11013717539470275,0.02,0.7003370835350144,0.16617643242120927,0.9798403958928398,0.9999999982454242
0.05,0.1,0.95,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.1072463768115942,0.02,0.7053309432057959,0.1652173913043478,0.9798885921860485,0.999999998283964
0.05,0.2,0.25,0.05,0.0,0.0,30,QUIET,0,0,0,30,0.0,0.0671428571428571,0.6583487215028156,0.04999999999999995,0.6844477654961526,0.2
0.05,0.2,0.25,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.081081081081081,0.04428571428571425,0.7982160620625707,0.1681698576250764,0.9813469963731002,0.9999999995673768
0.05,0.2,0.25,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.1,0.04,0.7283297971052346,0.1994047619047619,0.9833020837672145,0.9999999998408294
0.05,0.2,0.75,0.05,0.0,0.0,30,MIXED,0,0,30,0,0.0813953488372093,0.02,0.7880144705685213,0.1722631408453105,0.9825463659626421,0.999999999555992
0.05,0.2,0.75,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.1124040920716112,0.0171428571428571,0.6792019230382933,0.19013010431939595,0.9818316212904455,0.9999999996652444
0.05,0.2,0.75,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.107871720116618,0.02,0.6887097325280896,0.18832054560954808,0.9818483687526864,0.9999999996476256
0.05,0.2,0.95,0.05,0.0,0.0,30,MIXED,0,0,30,0,0.0813953488372093,0.02,0.7612464149592117,0.15658165758972203,0.9817606698469327,0.9999999981785389
0.05,0.2,0.95,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.1055718475073313,0.0171428571428571,0.6998558635139582,0.1666666666666666,0.9800858141427571,0.9999999985553991
0.05,0.2,0.95,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.10511150514901445,0.0171428571428571,0.7001585773620007,0.1656976744186046,0.9801056594810427,0.9999999985515975
0.05,0.3,0.25,0.05,0.0,0.0,30,QUIET,0,0,0,30,0.0,0.0557142857142857,0.6522184792574508,0.04999999999999995,0.6927244614094263,0.3
0.05,0.3,0.25,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.0815709969788519,0.0371428571428571,0.7966700874556044,0.1671554252199413,0.9809606507216524,0.9999999996015312
