t,mean_x,mean_y,mean_x_all,mean_y_all,mean_L,y0,mean_epc,mean_r,mean_b,fund_prevalence,mean_epc_all,mean_r_all,mean_b_all,fund_prevalence_all,punish_rate,mean_punished,exit_rate,mean_exit_intent,exit_attempt_rate,exit_success_rate,p_opp_mean,stay_value,mean_degree_active,threat,A,budget,enforcer_frac,n_cadre_fallback,cap_mean,cap_p90,service_mean,service_p90,monopoly_on,enforcer_punish_share_step,alpha_punish_revalue,delta_outside_degrade,pi_reward,lam_punish
143,0.9756358478445012,0.4864330784175225,0.9683035009905796,0.48742620187501157,0.24869350175742913,0.48257802839643343,0.8274760383386581,0.3897197315214904,0.3857825126592437,0.10223642172523961,0.74,0.3821961797364405,0.3764445736440309,0.09142857142857143,0.07428571428571429,0.08571428571428572,0.10571428571428572,5.4314285714285715,0.06389776357827476,0.002857142857142857,0.03529881613639094,0.1349028484031702,8.255591054313099,0.02782356912138438,0.05412716063644807,0.16669414147283063,0.07987220447284345,0,0.18330022696455772,0.21416939655019673,5.2610848688536755,0.9137759889415522,0.0,1.0,0.6,0.0,0.5055647138242769,0.25556471382427687
144,0.9754721918014917,0.4864036718900239,0.9682272251812555,0.4872565993733508,0.24869350175742913,0.4826856279230348,0.7884615384615384,0.38864084366118185,0.38506088502092867,0.09935897435897435,0.7028571428571428,0.38231046545072617,0.37653028792974524,0.09142857142857143,0.10571428571428572,0.12,0.10857142857142857,5.514285714285714,0.057692307692307696,0.002857142857142857,0.03545230256842989,0.1348147534255462,8.211538461538462,0.02698886204774285,0.05254678835599624,0.1661933172286457,0.08012820512820513,0,0.1836678701154492,0.21309854956744573,5.275863171476601,0.9242505440000003,0.0,0.9761904761904762,0.6,0.0,0.5053977724095485,0.2553977724095486
145,0.9764290873602727,0.4872814477876085,0.9688560521549537,0.4878186924422053,0.24869350175742913,0.4828781061902021,0.8263665594855305,0.38836117168100964,0.3853964108271501,0.09967845659163987,0.7342857142857143,0.38236760830786903,0.37657314507260237,0.09142857142857143,0.09714285714285714,0.11714285714285715,0.11142857142857143,5.582857142857143,0.06109324758842444,0.002857142857142857,0.035548139535916144,0.13472930129725094,8.205787781350482,0.026179196186310563,0.05101130442106161,0.16570751771178632,0.08038585209003216,0,0.18389195933630054,0.2120330568196085,5.287488765189926,0.9223681599999999,0.0,0.975609756097561,0.6,0.0,0.5052358392372621,0.2552358392372621
146,0.9764477824612948,0.48738234451455903,0.9688726640875762,0.4877391486008625,0.24869350175742913,0.483136957053389,0.7813504823151125,0.38848978904435366,0.38549287384965814,0.09967845659163987,0.6942857142857143,0.3824818940221547,0.37665885935831667,0.09142857142857143,0.09142857142857143,0.11142857142857143,0.11142857142857143,5.628571428571429,0.05787781350482315,0.0,0.035668882177942944,0.1346464127328045,8.205787781350482,0.025393820300721244,0.04951950743199218,0.16523629218043273,0.08038585209003216,0,0.18400092811104757,0.21097289153551047,5.2931675613147,0.9057655331200002,0.0,0.9743589743589743,0.6,0.0,0.5050787640601443,0.25507876406014424
147,0.9774221420679992,0.4877044798210736,0.969651373824832,0.48798548081603427,0.24869350175742913,0.4835147078577084,0.7967741935483871,0.389577431835652,0.3865970569005715,0.1,0.7057142857142857,0.38259617973644044,0.37674457364403097,0.09142857142857143,0.1,0.12857142857142856,0.11428571428571428,5.6971428571428575,0.054838709677419356,0.002857142857142857,0.03587806384718675,0.13456601082529154,7.967741935483871,0.024632005691699606,0.048070223777244014,0.16477920341501975,0.08064516129032258,0,0.18422306704192096,0.2099180270778329,5.3158756386598345,0.9076479171200007,0.0,0.9777777777777777,0.6,0.0,0.50492640113834,0.2549264011383399
148,0.9767251136084759,0.4882422319253769,0.9690340057606828,0.48809383132188583,0.24869350175742913,0.4837700111574953,0.7935483870967742,0.38970646409371656,0.38669383109411987,0.1,0.7028571428571428,0.3827104654507261,0.3768302879297452,0.09142857142857143,0.09714285714285714,0.10857142857142857,0.11428571428571428,5.765714285714286,0.05806451612903226,0.0,0.03607319673187758,0.13448802097500387,7.967741935483871,0.023893045520948616,0.04666230725932252,0.16433582731256915,0.08064516129032258,0,0.18427323742099705,0.2125805455111597,5.318129554458066,0.9237370868193423,0.0,0.9736842105263158,0.6,0.0,0.5047786091041897,0.2547786091041897
149,0.9780319403465411,0.4871861695497025,0.9699175155747722,0.4874093835924498,0.24869350175742913,0.48395662155883395,0.7928802588996764,0.39047341607802843,0.3864799948952251,0.10032362459546926,0.7,0.3829390368792976,0.37700171650117376,0.09142857142857143,0.1,0.11142857142857143,0.11714285714285715,5.8428571428571425,0.05501618122977346,0.002857142857142857,0.03631465868171706,0.1344123708202249,7.8122977346278315,0.023176254155320156,0.045294638707175316,0.1639057524931921,0.08090614886731391,0,0.1848937290910349,0.2237648124654336,5.323195534797476,0.9242505440000003,0.0,0.9487179487179487,0.6,0.0,0.5046352508310641,0.25463525083106403
150,0.9789643895402245,0.48567695944189815,0.9697973313433909,0.48636480832496415,0.24869350175742913,0.4841654297012723,0.7719869706840391,0.39105698150304974,0.38594438644977064,0.10097719869706841,0.6771428571428572,0.3829390368792976,0.37700171650117376,0.09142857142857143,0.10285714285714286,0.11428571428571428,0.12285714285714286,5.914285714285715,0.05211726384364821,0.005714285714285714,0.03649700506320559,0.13433899017008927,7.732899022801303,0.022480966530660552,0.04396612557670909,0.16348857991839633,0.08143322475570032,0,0.1846258318741512,0.2226459884031064,5.33101733838724,0.9057655331200002,0.0,1.0,0.6,0.0,0.5044961933061322,0.2544961933061321
151,0.9790981528437707,0.4854015970933544,0.9699321685319086,0.48623790594819344,0.24869350175742913,0.4842397361737658,0.7973856209150327,0.39111855505532905,0.3866907424147342,0.10130718954248366,0.6971428571428572,0.3829961797364404,0.37704457364403093,0.09142857142857143,0.10571428571428572,0.11714285714285715,0.12571428571428572,5.977142857142857,0.049019607843137254,0.002857142857142857,0.03663930203033938,0.1342678109394577,7.712418300653595,0.021806537534740735,0.042675701540988875,0.16308392252084444,0.08169934640522876,0,0.1847591320004947,0.23000518323296612,5.341539848762352,0.9057655331200002,0.0,0.975609756097561,0.6,0.0,0.5043613075069482,0.25436130750694813
152,0.9774588698552742,0.48549220552600003,0.9684581881433436,0.48643539831212773,0.24869350175742913,0.4842325049385965,0.7540983606557377,0.3911451802773895,0.386310346754016,0.10163934426229508,0.6571428571428571,0.38311046545072613,0.3771302879297452,0.09142857142857143,0.10571428571428572,0.11714285714285715,0.12857142857142856,6.054285714285714,0.05573770491803279,0.002857142857142857,0.036731452624278405,0.13419876708574507,7.691803278688525,0.021152341408698514,0.04142232607157981,0.1626914048452191,0.07868852459016394,0,0.18494876562620652,0.22885515731680126,5.351851908929962,0.9076479171200007,0.0,0.975609756097561,0.6,0.0,0.5042304682817397,0.25423046828173973
