sigma,pi_reward,alpha,delta,mu_membership_reward,seed,final_fund_prevalence,final_exit_rate,max_punish,top5_punishment_share,top10_punishment_share,enforcer_punish_share,regime,run_dir
0.75,0.25,0.0,0.3,0.0,9,0.1345291479820627,0.3628571428571429,0.1571428571428571,0.7893713545042126,0.9762367682004752,0.9459149050258798,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_membership_sweep/mu_0.00/delta_0.30/sigma_0.75/pi_0.25/seed_09
0.75,0.25,0.0,0.3,0.0,10,0.1382488479262673,0.38,0.1485714285714285,0.8082165846270352,0.9780386217341916,0.9646184895167372,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_membership_sweep/mu_0.00/delta_0.30/sigma_0.75/pi_0.25/seed_10
0.75,0.5,0.0,0.3,0.0,1,0.1367521367521367,0.3314285714285714,0.1571428571428571,0.784964222655887,0.9757457485363814,0.9601219815228005,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_membership_sweep/mu_0.00/delta_0.30/sigma_0.75/pi_0.50/seed_01
0.75,0.5,0.0,0.3,0.0,2,0.1221719457013574,0.3685714285714285,0.1542857142857142,0.8175149429451186,0.9799855098714001,0.9663808818825106,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_membership_sweep/mu_0.00/delta_0.30/sigma_0.75/pi_0.50/seed_02
0.75,0.5,0.0,0.3,0.0,3,0.1390134529147982,0.3628571428571429,0.1657142857142857,0.7849009235183358,0.9803640276158881,0.9578621034129173,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_membership_sweep/mu_0.00/delta_0.30/sigma_0.75/pi_0.50/seed_03
0.75,0.5,0.0,0.3,0.0,4,0.1511111111111111,0.3571428571428571,0.16,0.8108442110141345,0.9828531706186762,0.9728740576456486,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_membership_sweep/mu_0.00/delta_0.30/sigma_0.75/pi_0.50/seed_04
0.75,0.5,0.0,0.3,0.0,5,0.1605504587155963,0.3771428571428571,0.16,0.8109957337197135,0.9801175239475167,0.9680508634001731,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_membership_sweep/mu_0.00/delta_0.30/sigma_0.75/pi_0.50/seed_05
0.75,0.5,0.0,0.3,0.0,6,0.1531100478468899,0.4028571428571428,0.1514285714285714,0.8305211848518935,0.9797525309336333,0.9681513828171131,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_membership_sweep/mu_0.00/delta_0.30/sigma_0.75/pi_0.50/seed_06
0.75,0.5,0.0,0.3,0.0,7,0.147982062780269,0.3628571428571429,0.1542857142857142,0.8167327089337176,0.9786563400576369,0.9665035368245798,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_membership_sweep/mu_0.00/delta_0.30/sigma_0.75/pi_0.50/seed_07
0.75,0.5,0.0,0.3,0.0,8,0.1441441441441441,0.3657142857142857,0.16,0.7939931465430357,0.9763152590203588,0.9495366021753106,MIXED,/storage/social-science/religion-code-geometry-abm/results/v2.6b_membership_sweep/mu_0.00/delta_0.30/sigma_0.75/pi_0.50/seed_08
