eta_delta_drift,delta0,sigma,pi_reward,alpha,mu_membership_reward,n_seeds,regime_majority,n_collapse,n_capture,n_mixed,n_quiet,median_fund_prevalence,median_exit_rate,median_top5_share,median_max_punish,median_enforcer_punish_share,median_final_delta
0.0,0.4,0.75,0.05,0.0,0.0,30,MIXED,0,0,30,0,0.09713431786216595,0.36,0.8326432380849138,0.15280651954949176,0.9535370127446816,0.4
0.0,0.4,0.75,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.14355738956206465,0.37571428571428567,0.8019753602163296,0.1715576592082616,0.9662642085384675,0.4
0.0,0.4,0.75,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.1464906767232348,0.3714285714285714,0.7995603441623852,0.1718306346404727,0.9696797553339873,0.4
0.0,0.4,0.95,0.05,0.0,0.0,30,MIXED,0,0,30,0,0.09504294520430985,0.29857142857142854,0.7952654177290027,0.13863140014559572,0.9722979403671788,0.4
0.0,0.4,0.95,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.1313676633444075,0.29000000000000004,0.7700909474384097,0.1419748968330363,0.9734421469804364,0.4
0.0,0.4,0.95,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.1292220113851992,0.2885714285714286,0.7652671032870266,0.14046175373134323,0.9732821147574302,0.4
0.0,0.6,0.25,0.05,0.0,0.0,30,QUIET,0,0,0,30,0.0,0.0142857142857142,0.4236161616161616,0.04999999999999995,0.44887725539629403,0.6
0.0,0.6,0.25,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.0960221285563751,0.37857142857142856,0.8504339380865681,0.1455555889935498,0.9592400654029838,0.6
0.0,0.6,0.25,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.12297501077121925,0.3999999999999999,0.8364888876250971,0.1796696596829619,0.9500052523826736,0.6
0.0,0.6,0.75,0.05,0.0,0.0,30,MIXED,0,0,30,0,0.09874929338609381,0.33285714285714285,0.8284472114068546,0.15685587373250076,0.9732630863510869,0.6
0.0,0.6,0.75,0.25,0.0,0.0,30,MIXED,0,0,30,0,0.13760966941842812,0.3385714285714285,0.789224649078266,0.17729436349915823,0.973811145286569,0.6
0.0,0.6,0.75,0.5,0.0,0.0,30,MIXED,0,0,30,0,0.14285324604473534,0.3371428571428571,0.7942967688961551,0.17419183120402632,0.9742073516776941,0.6
0.0,0.6,0.95,0.05,0.0,0.0,30,MIXED,0,0,30,0,0.09073013600572655,0.2671428571428571,0.7996541122213682,0.1462672382415982,0.9775281294444964,0.6
0.0,0.6,0.95,0.25,0.0,0.0,30,MIXED,0,2,28,0,0.13207142857142856,0.25571428571428567,0.7526339872501304,0.15,0.9757668566642768,0.6
0.0,0.6,0.95,0.5,0.0,0.0,30,MIXED,0,1,29,0,0.13386656746031744,0.25857142857142856,0.750879236181277,0.1490131578947368,0.9757282084538494,0.6
0.0,0.8,0.25,0.05,0.0,0.0,30,QUIET,0,0,0,30,0.0,0.0071428571428571,0.42143197053937653,0.04999999999999995,0.4482030646189895,0.8
