punish_floor,seed,regime_hier,final_delta,median_exit_rate,final_fund_prevalence,max_punish
0.08,2,MIXED,0.9999999999999996,0.0628571428571428,0.1006097560975609,0.1828571428571428
0.08,3,MIXED,0.9999999999999996,0.0485714285714285,0.1051051051051051,0.1771428571428571
0.08,4,MIXED,0.9999999999999996,0.1057142857142857,0.1054313099041533,0.1542857142857142
0.08,5,MIXED,0.9999999999999996,0.0542857142857142,0.1148036253776435,0.1828571428571428
0.08,6,MIXED,0.9999999999999996,0.0914285714285714,0.1069182389937107,0.1628571428571428
0.08,7,MIXED,0.9999999999999996,0.0771428571428571,0.1207430340557275,0.1685714285714285
0.08,8,MIXED,0.9999999999999996,0.06,0.1094224924012158,0.1771428571428571
0.08,9,MIXED,0.9999999999999996,0.08,0.124223602484472,0.1685714285714285
0.08,10,MIXED,0.9999999999999996,0.0657142857142857,0.1131498470948012,0.1657142857142857
0.08,11,MIXED,0.9999999999999996,0.0657142857142857,0.1223241590214067,0.1714285714285714
0.08,12,MIXED,0.9999999999999996,0.0828571428571428,0.1246105919003115,0.1742857142857143
0.08,13,MIXED,0.9999999999999996,0.0714285714285714,0.12,0.1714285714285714
0.08,14,MIXED,0.9999999999999996,0.0657142857142857,0.1253822629969418,0.1771428571428571
0.08,15,MIXED,0.9999999999999996,0.08,0.1149068322981366,0.1714285714285714
0.08,16,MIXED,0.9999999999999996,0.0514285714285714,0.1144578313253012,0.1742857142857143
0.08,17,MIXED,0.9999999999999996,0.1142857142857142,0.1064516129032258,0.1571428571428571
0.08,18,MIXED,0.9999999999999996,0.0742857142857142,0.1018518518518518,0.18
0.08,19,MIXED,0.9999999999999996,0.0685714285714285,0.1196319018404908,0.1771428571428571
0.08,20,MIXED,0.9999999999999996,0.0971428571428571,0.0949367088607595,0.1571428571428571
0.08,21,MIXED,0.9999999999999996,0.08,0.1118012422360248,0.16
0.08,22,MIXED,0.9999999999999996,0.1057142857142857,0.1309904153354632,0.1714285714285714
0.08,23,MIXED,0.9999999999999996,0.1057142857142857,0.1022364217252396,0.1657142857142857
0.08,24,MIXED,0.9999999999999996,0.0657142857142857,0.1223241590214067,0.1685714285714285
0.08,25,MIXED,0.9999999999999996,0.0742857142857142,0.1172839506172839,0.1714285714285714
0.08,26,MIXED,0.9999999999999996,0.06,0.1003039513677811,0.1685714285714285
0.08,27,MIXED,0.9999999999999996,0.0685714285714285,0.1165644171779141,0.18
0.08,28,MIXED,0.9999999999999996,0.0771428571428571,0.0990712074303405,0.1628571428571428
0.08,29,MIXED,0.9999999999999996,0.0828571428571428,0.1090342679127725,0.1714285714285714
0.08,30,MIXED,0.9999999999999996,0.0514285714285714,0.1024096385542168,0.1914285714285714
0.1,1,MIXED,0.9999999999999996,0.1257142857142857,0.1111111111111111,0.1485714285714285
0.1,2,MIXED,0.9999999999999996,0.1114285714285714,0.112540192926045,0.1571428571428571
0.1,3,MIXED,0.9999999999999996,0.1485714285714285,0.1040268456375839,0.16
0.1,4,MIXED,0.9999999999999996,0.1857142857142857,0.1087719298245614,0.1428571428571428
0.1,5,MIXED,0.9999999999999996,0.14,0.1096345514950166,0.1571428571428571
0.1,6,MIXED,0.9999999999999996,0.1085714285714285,0.1282051282051282,0.1714285714285714
0.1,7,MIXED,0.9999999999999996,0.1028571428571428,0.1019108280254777,0.1542857142857142
0.1,8,MIXED,0.9999999999999996,0.1771428571428571,0.1041666666666666,0.1342857142857142
0.1,9,MIXED,0.9999999999999996,0.1314285714285714,0.1184210526315789,0.1542857142857142
0.1,10,MIXED,0.9999999999999996,0.12,0.1168831168831168,0.16
0.1,11,MIXED,0.9999999999999996,0.1171428571428571,0.1229773462783171,0.1514285714285714
0.1,12,MIXED,0.9999999999999996,0.1285714285714285,0.1278688524590163,0.1542857142857142
0.1,13,MIXED,0.9999999999999996,0.1371428571428571,0.1125827814569536,0.1542857142857142
0.1,14,MIXED,0.9999999999999996,0.1171428571428571,0.1229773462783171,0.1714285714285714
0.1,15,MIXED,0.9999999999999996,0.1257142857142857,0.1143790849673202,0.1571428571428571
0.1,16,MIXED,0.9999999999999996,0.1742857142857143,0.1245674740484429,0.1228571428571428
0.1,17,MIXED,0.9999999999999996,0.1314285714285714,0.1085526315789473,0.14
0.1,18,MIXED,0.9999999999999996,0.1371428571428571,0.0993377483443708,0.1542857142857142
0.1,19,MIXED,0.9999999999999996,0.1114285714285714,0.1286173633440514,0.1685714285714285
0.1,20,MIXED,0.9999999999999996,0.2028571428571428,0.1075268817204301,0.1171428571428571
0.1,21,MIXED,0.9999999999999996,0.0914285714285714,0.1163522012578616,0.1514285714285714
0.1,22,MIXED,0.9999999999999996,0.1314285714285714,0.1184210526315789,0.1571428571428571
