arm,run_dir,seed,turnover_mode,exit_capacity_mode,mu_membership_reward,ec_tenure_crowdout,born_inside_frac,ec50,ec200,ec449,n_active,exit_capacity_mean,exit_capacity_sd,exit_capacity_ndistinct,cumulative_exit_rate,exit_rate_last100,frac_born_inside,mean_econ_independence,mean_outside_ties,enforcer_punish_share,code_sha256,aggregated_utc
live_econ,results/v3_3_endogenous_capacity_v2/generational_live_econ/mu_0.6/crowd_0.008/born_0/seed_02,2,on,endogenous,0.6,0.008,0.0,0.5789032680224526,0.4655227495861731,0.4957059818873459,185,0.49487272664540816,0.24720380053867186,185,0.3833333333333333,0.075,0.0,0.7394831470234524,0.2519288167512392,0.9789473684210527,a3bb242669f1dcd92e60af82912b52126568cf3a1658657fd1a1828272478497,2026-07-25T10:21:24.856227+00:00
live_econ,results/v3_3_endogenous_capacity_v2/generational_live_econ/mu_0.6/crowd_0.008/born_0/seed_03,3,on,endogenous,0.6,0.008,0.0,0.5993038782019767,0.5180168106310951,0.461113359872235,192,0.46044169139224506,0.226634428712907,192,0.36,0.0679611650485436,0.0,0.7276208864337196,0.1946058333107505,0.9763519387932533,a3bb242669f1dcd92e60af82912b52126568cf3a1658657fd1a1828272478497,2026-07-25T10:21:24.856227+00:00
live_econ,results/v3_3_endogenous_capacity_v2/generational_live_econ/mu_0.6/crowd_0.008/born_0/seed_04,4,on,endogenous,0.6,0.008,0.0,0.5707797212867144,0.4727633669458957,0.4486553287851379,174,0.44799133511528366,0.23225507033190376,173,0.42,0.0744680851063829,0.0,0.7067694448701108,0.1905412127001652,0.9308283518360376,a3bb242669f1dcd92e60af82912b52126568cf3a1658657fd1a1828272478497,2026-07-25T10:21:24.856227+00:00
live_econ,results/v3_3_endogenous_capacity_v2/generational_live_econ/mu_0.6/crowd_0.008/born_0/seed_05,5,on,endogenous,0.6,0.008,0.0,0.5712767843832679,0.4629169895228551,0.4806523392805392,183,0.4798378063473272,0.2375578550943817,183,0.39,0.0710659898477157,0.0,0.7296117544970636,0.2316929240640148,0.9779108449767132,a3bb242669f1dcd92e60af82912b52126568cf3a1658657fd1a1828272478497,2026-07-25T10:21:24.856227+00:00
live_econ,results/v3_3_endogenous_capacity_v2/generational_live_econ/mu_0.6/crowd_0.008/born_0/seed_06,6,on,endogenous,0.6,0.008,0.0,0.5910778211397654,0.4446784253461694,0.4323635230053995,179,0.431798512078832,0.21486498351673006,179,0.4033333333333333,0.0773195876288659,0.0,0.7012694482618442,0.1634575977489546,0.9679123200845108,a3bb242669f1dcd92e60af82912b52126568cf3a1658657fd1a1828272478497,2026-07-25T10:21:24.856227+00:00
live_econ,results/v3_3_endogenous_capacity_v2/generational_live_econ/mu_0.6/crowd_0.008/born_0/seed_07,7,on,endogenous,0.6,0.008,0.0,0.5740991084457451,0.475744958209992,0.488827026302941,175,0.4879574371685261,0.23645221196403027,175,0.4166666666666667,0.0591397849462365,0.0,0.7374020374003463,0.2402520152055356,0.9644970414201184,a3bb242669f1dcd92e60af82912b52126568cf3a1658657fd1a1828272478497,2026-07-25T10:21:24.856227+00:00
live_econ,results/v3_3_endogenous_capacity_v2/generational_live_econ/mu_0.6/crowd_0.008/born_0/seed_08,8,on,endogenous,0.6,0.008,0.0,0.5688661989832308,0.4821593698196688,0.48279394715422,173,0.4870077223978994,0.24858519809308477,172,0.4233333333333333,0.0698924731182795,0.0,0.7229530071444261,0.2426348871640139,0.9517241379310345,a3bb242669f1dcd92e60af82912b52126568cf3a1658657fd1a1828272478497,2026-07-25T10:21:24.856227+00:00
live_econ,results/v3_3_endogenous_capacity_v2/generational_live_econ/mu_0.6/crowd_0.008/born_0/seed_09,9,on,endogenous,0.6,0.008,0.0,0.6006590414180357,0.4771153505858144,0.4806840875581533,163,0.47670967069138176,0.2502600788309305,162,0.4566666666666666,0.1043956043956044,0.0,0.7190199724707892,0.2423482026455175,0.9736236131463262,a3bb242669f1dcd92e60af82912b52126568cf3a1658657fd1a1828272478497,2026-07-25T10:21:24.856227+00:00
live_econ,results/v3_3_endogenous_capacity_v2/generational_live_econ/mu_0.6/crowd_0.008/born_0/seed_10,10,on,endogenous,0.6,0.008,0.0,0.5696887354744173,0.4693220774777442,0.482770041473635,175,0.4819566244680764,0.23912591305028194,175,0.4166666666666667,0.0885416666666666,0.0,0.7360488926505863,0.2294911902966838,0.9388955944477972,a3bb242669f1dcd92e60af82912b52126568cf3a1658657fd1a1828272478497,2026-07-25T10:21:24.856227+00:00
live_econ,results/v3_3_endogenous_capacity_v2/generational_live_econ/mu_0.8/crowd_0.002/born_0.8/seed_01,1,on,endogenous,0.8,0.002,0.8,0.5431311295652743,0.5577096680800484,0.5484261598054677,158,0.548654653073123,0.17177727576639482,158,0.4733333333333333,0.0595238095238095,0.4746835443037974,0.5171992941297588,0.5796530254811764,0.9466723549488054,a3bb242669f1dcd92e60af82912b52126568cf3a1658657fd1a1828272478497,2026-07-25T10:21:24.856227+00:00
live_econ,results/v3_3_endogenous_capacity_v2/generational_live_econ/mu_0.8/crowd_0.002/born_0.8/seed_02,2,on,endogenous,0.8,0.002,0.8,0.5456000547396379,0.5506318359355851,0.54957592929049,160,0.5498412957470977,0.18717685406554305,160,0.4666666666666667,0.106145251396648,0.4875,0.5193548484687077,0.5797970101122725,0.8377712031558185,a3bb242669f1dcd92e60af82912b52126568cf3a1658657fd1a1828272478497,2026-07-25T10:21:24.856227+00:00
live_econ,results/v3_3_endogenous_capacity_v2/generational_live_econ/mu_0.8/crowd_0.002/born_0.8/seed_03,3,on,endogenous,0.8,0.002,0.8,0.5457442383060589,0.5474708550106266,0.5406900447954993,186,0.5410281403454905,0.18235964752899628,186,0.38,0.0558375634517766,0.4838709677419355,0.5224047093981297,0.5589753801928691,0.8612076455256299,a3bb242669f1dcd92e60af82912b52126568cf3a1658657fd1a1828272478497,2026-07-25T10:21:24.856227+00:00
live_econ,results/v3_3_endogenous_capacity_v2/generational_live_econ/mu_0.8/crowd_0.002/born_0.8/seed_04,4,on,endogenous,0.8,0.002,0.8,0.5377506417371686,0.5086043062566621,0.5162337406421466,125,0.5165440360224232,0.18167281443183383,125,0.5833333333333334,0.1007194244604316,0.512,0.5037220795632562,0.5287454017210368,0.8275465183195857,a3bb242669f1dcd92e60af82912b52126568cf3a1658657fd1a1828272478497,2026-07-25T10:21:24.856227+00:00
live_econ,results/v3_3_endogenous_capacity_v2/generational_live_econ/mu_0.8/crowd_0.002/born_0.8/seed_05,5,on,endogenous,0.8,0.002,0.8,0.5536714183821655,0.5460117425402232,0.5454397421714591,170,0.5443524122651402,0.16821323664293197,170,0.4333333333333333,0.0555555555555555,0.4411764705882353,0.5150504926606144,0.5758289916823036,0.8814236111111111,a3bb242669f1dcd92e60af82912b52126568cf3a1658657fd1a1828272478497,2026-07-25T10:21:24.856227+00:00
live_econ,results/v3_3_endogenous_capacity_v2/generational_live_econ/mu_0.8/crowd_0.002/born_0.8/seed_06,6,on,endogenous,0.8,0.002,0.8,0.5480114372552305,0.5567592263370821,0.5355255753843357,166,0.5359187023735302,0.1811124013642307,166,0.4466666666666666,0.0459770114942528,0.5120481927710844,0.5162198391608795,0.5548313116077918,0.8417329796640142,a3bb242669f1dcd92e60af82912b52126568cf3a1658657fd1a1828272478497,2026-07-25T10:21:24.856227+00:00
live_econ,results/v3_3_endogenous_capacity_v2/generational_live_econ/mu_0.8/crowd_0.002/born_0.8/seed_07,7,on,endogenous,0.8,0.002,0.8,0.5482268702312496,0.5447656634039734,0.5382259687776506,147,0.5386525612802076,0.18356938670913744,147,0.51,0.0925925925925925,0.5306122448979592,0.5223694558142528,0.5540824817410485,0.9111416781292985,a3bb242669f1dcd92e60af82912b52126568cf3a1658657fd1a1828272478497,2026-07-25T10:21:24.856227+00:00
